
Name                         Lines Directory
----                         ----- ---------
PatientDetail.tsx             1097 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
App.tsx                        576 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
CognitiveModal.tsx             554 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
InvoiceWizardModal.tsx         551 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
EditProfileModal.tsx           475 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
GroupSessionModal.tsx          421 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
SettingsView.tsx               410 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
constants.ts                   367 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
SessionModal.tsx               360 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Sidebar.tsx                    348 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
ManualClinicoAdultoHtml.ts     323 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
ManualClinicoInfantilHtml.ts   319 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
CalendarView.tsx               314 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
PatientsDirectory.tsx          275 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
BillingView.tsx                266 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
DailyAgendaWidget.tsx          230 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
LoginView.tsx                  227 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
GroupDetailView.tsx            224 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
seeds.ts                       208 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
ReportModal.tsx                207 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
SessionsManager.tsx            192 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
MusicalIdentityModal.tsx       192 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
SafetyModal.tsx                188 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
InvoiceGenerator.tsx           178 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
WeeklyAgendaWidget.tsx         174 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
patient.ts                     169 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
MocaTemplate.tsx               164 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
PatientRepository.ts           162 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
PdfGenerator.ts                159 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
index.css                      158 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
SessionRepository.ts           157 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
DocumentsTab.tsx               156 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
clinicalUtils.ts               154 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Preloader.tsx                  153 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
InvoiceGenerator.tsx           151 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
MmseTemplate.tsx               148 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
queries.ts                     142 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
GroupsDirectory.tsx            140 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
pdfTemplates.ts                140 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
useAuth.ts                     140 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Home.tsx                       135 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
IntroParticles.tsx             133 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Methodology.tsx                130 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
ReportsView.tsx                129 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
types.ts                       129 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
AdmissionChecklistModal.tsx    127 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
QuickAppointmentModal.tsx      126 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
Services.tsx                   125 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
GroupSessionRepository.ts      124 C:\Users\Usuario\.gemini\antigravity\scratch\monorepo-crm…
